Title,Year,Directors,Rating,WatchedDate,Review
The Long Good Friday,1980,John Mackenzie,4.0,2023-12-12,"Well-crafted film that balances entertainment with cinematic aesthetics very well. The fantastic soundtrack, goofy acting, oddball humor and careful caricatures all add up to a great style. The story is interesting as well. If I had to point out something negative, it is that I'm not entirely sure about everyone's acting skills. It definitely didn't truly bother me though."
Unruly,2022,Malou Reymann,4.0,2023-11-09,"Engaging, disturbing and educational about the history of oppression of women. I love how heartfelt the film is at times as wel; it is really well-balanced. The photography is good, the acting is fantastic and there are no cheap shots. Great film!"
The Green Butchers,2003,Anders Thomas Jensen,2.0,2023-10-11,"This was an enjoyable film. In many regards it's too mainstream for my taste, but I definitely appreciated a few great dark jokes."
Oppenheimer,2023,Christopher Nolan,4.0,2023-09-08,"Yet another great cinematic experience from the hands of the director who has bridged the gap between mainstream and art. Similarly to INTERSTELLAR, this film is a fantastic audiovisual experience. The story telling is also well done. What I loved in particular is how doubt and moral ambiguity play a central role in the film in various ways. Not only through the first person experience of Oppenheimer, but also through the fourth wall, in the celebratory scenes for example. Other than some sentimental cliches, I really liked this movie."
The Super Mario Bros. Movie,2023,"Aaron Horvath,Michael Jelenic,Pierre Leduc,Fabien Polack",3.0,2023-10-10,"Carefully crafted classic children's movie with tons of creative references to the game franchise. The style is really close to the feeling of the games, even including the subtle use of some in-game music classics. I also think the way the original identity of the Mario bros. as Italian plumbers from Brooklyn has been combined very successfully with the in-game world and identity. The humor is good, for children in particular but also for adults it's absolutely enjoyable. All in all this is a fun watch, very well balanced, creative and nostalgic."
The Lighthouse,2019,Robert Eggers,4.0,2023-03-27,"Fantastic experience. The photography is superb from the first shot to the last. Great and varied composition, interesting use of shadow and an interesting choice for an 4:3 aspect ratio, which gives the film a more claustrophobic feel. The humor is fantastic, and the subtle psychological horror surrounding the mystical lighthouse (or working with it, rather) is simple but remains interesting throughout. For my taste, the film could've been more slowly paced, but that's an extravagant preference I guess. Great film!"
Clue,1985,Jonathan Lynn,3.0,2022-08-22,"This film is great fun in all sorts of ways with its scripted jokes, bizarre slapstick-esque hysteria and subtle moments of absurdity. It does lose a little of its shine over time, but that's made up for by the incredible ending, which is both clever, fun and climactic."
My Führer,2007,Dani Levy,2.0,2022-07-04,"It's a neat idea, and the utterly fragile Hitler has definitely made me laugh. However, much about the film is just too cliche too really get excited about it. Still, it's a fun watch for a lazy day."
Sisters with Transistors,2020,Lisa Rovner,4.0,2022-10-04,"A great piece on the evolution of avant-garde electronic music from the point of view of some of the women pioneers. We learn about the struggle these women endured, who they are and what drove them towards making this kind of music. What is really well done is how the music is integrated in the documentary to function as its soundtrack. The aesthetics of this film are great all around. Very good watch."
The Human Condition III: A Soldier's Prayer,1961,Masaki Kobayashi,5.0,2023-01-17,"Coming full circle, after Japan's loss of the war, it is now Kaji who is on the side of the oppressed. After a final spurt of energy, he finally surrenders and gets placed in a work camp, just like the one he used to lead himself. It is here where his final hope in humanity is tested: his hope in the socialist Russians. The truth is bitter."
