Title,Year,Directors,Rating,WatchedDate,Review
Interstellar,2014,Christopher Nolan,4.0,2018-04-26,"What to say here. On the one hand I really dislike the sentimentality and some of the acting and pseudo-science. On the other hand this is a beautifully crafted modern epic adventure which relates interestingly to contemporary problems and expected human suffering because of them. The soundtrack is amazing, and the adventure never ceases to excite. To me, this is a masterpiece gone bad in a mainstream genre."
There Will Be Blood,2007,Paul Thomas Anderson,3.0,2018-04-26,"At first it seems a veracious film about the history of oil drilling and how it seemed to make fortune seekers and villages prosper. Soon this utopia starts showing some more sinister side, and slowly the greed takes its toll on people, turning them into monsters. Very accessible and nicely filmed movie, recommended to many."
Chinatown,1974,Roman Polanski,5.0,2018-04-26,"Superb combination of a captivating detective adventure and a piece of art in which political and financial powers are exposed for the viewer to witness. The style of this film is amazing as well. As the film progresses the story and atmosphere becomes increasingly bizarre, climaxing in a beautiful ending. Fantastic film."
Battling Butler,1926,Buster Keaton,3.0,2018-04-26,"Nicely written story, fun to watch. Not equally exhilarating all the time, but definitely entertaining. The final scene is marvellous!"
"Game Over, Man!",2018,Kyle Newacheck,1.0,2018-04-02,"Mostly cliche, but nonetheless entertaining in a ""I'm chilling"", ambient sort of way. Some stuff was prety creative, such as the Skintendo body suit and when Alexxx faked his death by auto-erotic asphyxiation and didn't plan on having to watch the two bad guys make out and have sex. It deserves two stars maybe, but it doesn't feel fair to my other two star films which are better."
De geheimzinnige ruitenvrouw,1962,John Frankenheimer,2.0,2023-12-01,"I feel this is one film I should like, but I simply didn't. The acting felt uncomfortable, the progression of the storyline not as captivating as I would've wanted it to feel. The political side of the film wasn't emphasized the way I expected and is accompanied by weird, cheap sentiment mostly in a pretty uncredible mother figure. I don't know. It wasn't all bad, but nothing really good either."
Porco Rosso,1992,Hayao Miyazaki,4.0,2018-04-02,"Such a surprise. I've heard so little of this film, and it turns out to be one of my favorites by MIYAZAKI. I got completely immersed in the beautiful watery world, flying free as a pig. I love the humor too, it is really cheeky! The only thing keeping me from rating this 5/5 is the mysterious curse that supposedly has turned Marco into a pig. It felt out of place, as if a darling couldn't be killed. Great film!"
Altered States,1980,Ken Russell,3.0,2024-03-21,"Easily brushed off as unscientific mumbo jumbo, the intellectual explorations are pretty cool and offer quite the philosophical treat. There's plenty of other things to be doubtful about though, such as the extremity of reversion, first with the ape on the loose, and later at the end with that kind of pure energy shape. Meanwhile, the romance becomes cheesier, yet with some meaning somewhere too. Mixed feelings."
Netherlands,2012,Thomas Vinterberg,5.0,2018-03-17,"So well thought through is the psychology in this film, it's amazing. VINTERBERG sells a story that would seem impossible to call real to its full extent, and not only does he make you believe it, he convinces you of every detail in the complex chain of events leading up to it. The acting, the script, it's all truly brilliant. Then to top it all off the open ending is highly interesting, leaving you to think."
"Three Billboards Outside Ebbing, Missouri",2017,Martin McDonagh,3.0,2018-03-17,"The idea of the billboards provide an easy in for sentimental 'revenge porn', which can be decently entertaining, and in fact most of the time it was. Every now and then though I couldn't help but think Mrs. Hayes was too tough and cool for me to take it seriously. However, I really admired the way her humane side shone through as wel. Very decent watch for sure."
Lady Bird,2017,Greta Gerwig,3.0,2018-03-17,"I like how this film is colorful, playful, but also has great drama acting. The relationship between Lady Bird and her mom is is very credible and psychologically and emotionally authentic. Everything did feel a little high-paced though, as if an entire series has been crammed into 90 minutes. Also, sometimes it felt 'too girly' for my taste, although at the same time that's part of what made the eccentric style."
Nashville,1975,Robert Altman,5.0,2020-09-30,"This is exactly what you want from ALTMAN: grandly hectical, satirical with the typical goofy touch, pointless in many ways, secretly political and above all incredibly cosy and loveable. This lengthy film entertains naturally, slowly, like a great piece of ambient music which captivates you without trying too hard. I consider this a masterpiece, where ALTMAN's style truly blossoms without compromise or weak spots."
Annie Hall,1977,Woody Allen,5.0,2025-11-06,"It could easily be mistaken for yet another ALLEN movie, but even though it could be said to be based on similar formulae as many of his other films, this one stands out because of the authentic energy of the actors, and the vibe between them. KEATON's vitality and wild yet sweet character are beautifully contrasted against ALLEN's typical neurotic type. Very loveable film!"
"Norte, the End of History",2013,Lav Diaz,4.0,2024-04-21,"Such a beautiful film this is. Thanks to its length it can extensively cover all perspectives involved in the story, as well as pace everything slowly in order to allow both the drama to have more impact, and to enable the stunning visuals to flourish. Realistic drama without frills to elevate the experience superficially: its quality speaks on its own."
Thirty Two Short Films About Glenn Gould,1993,François Girard,2.0,2018-03-11,"Informative, reasonably enjoyable, but I didn't quite like the style. The format of presenting this in what I'd call pseudo-shorts -since they are clearly related, and not an actual collection of independent, interesting shorts- does not work very well. I'm happy to have learned about GOULD's love for animals, his interesting philosophical ideas and kind character though."
M*A*S*H,1970,Robert Altman,3.0,2021-02-26,"As I experienced with SHORT CUTS, here too ALTMAN has succeeded in providing the sensation of having watched an entire series with lovable, interesting characters, all the while focusing on them and their goofy actions simply because the film is otherwise so aimless. You have to be open minded to the format and to the humor too, but I enjoyed this college-like comedy in the Korean war."
The Triplets of Belleville,2003,Sylvain Chomet,3.0,2018-03-02,"Somehow I didn't expect this film to be so absurd, which turned out to be a pleasant surprise! The animation is very funny, the musical scenes are very nice, the style feels delightfully French and the story on a whole is silly, but works well for the film. I liked it."
3 Women,1977,Robert Altman,3.0,2020-08-06,"I'm not entirely sure what to think of this film. It's definitely an interesting, worthwile watch, a good film in many regards. I love ALTMAN's playful, creative and varied style, time and time again. I think I wasn't prepared for such psychological absurdity, which rather than surprise me in a positive way, rather struck me as uncredible and odd. Mixed feelings for me."
McCabe & Mrs. Miller,1971,Robert Altman,4.0,2018-02-25,"The tale of a typical western tough guy who is on an endeavour to build saloons and be rich, who finds himself becoming increasingly infatuated with an usually strong woman, one feminists would be proud of, although her profession would nowadays be frowned upon. By showing the fragile, emotional side of the hero I feel ALTMAN has done something unique with a western. The theme song by COHEN wonderfully supports this."
Thank You for Smoking,2005,Jason Reitman,3.0,2018-02-25,"I like how this film both shows in great detail how dirty and greedy Nick Naylor has to be, while also showing that he is just a normal human being like most of us who pays for his living and cares about his kid. It's amazing how well Naylor masters rhetorical skill. At times he even had me slightly sympathetic towards the idea that maybe he isn't to be judged so easily after all, since it does indeed regard freedom."
Brief van een onbekende vrouw,1948,Max Ophüls,4.0,2024-12-04,"It takes skill to prevent this from being cheesy, and I think Ophüls did this remarkably well. I was put to tears near the end, such a beautiful story of romance this is. The way their paths diverge and then cross again is very moving and even though some things seem rather incredulous (like Stefan failing to remembering the love of his life) they are elaborated so well you start admiring this oddity. Beautiful film!"
The Hospital,1971,Arthur Hiller,3.0,2022-03-25,"Very nice, layered film which has that lovely 70s vibe. I was impressed by George C. Scott's acting, who seamlessly blended comedy and drama into one another. His depression is interesting, and the hospital-centric approach even more so. As the film progresses in its second half, I feel it loses some of its focus though. But all in all I certainly enjoyed it."
Black Swan,2010,Darren Aronofsky,3.0,2018-02-19,"It's nice to see Aronofsky bring the darkness of some of his earlier films out again, which he utilizes here to immerse you in the subtly growing insanity of the wonderful Nina. As with THE WRESTLER, here too the final phase of the film is a great climax. The swan parallell might be obvious, but is really nice nevertheless. Finally, the film is a pleasure to the eye."
The Piano Teacher,2001,Michael Haneke,4.0,2018-02-19,"Edgy to the point where you would start doubting the psychological credibility of it all if it weren't done as brilliantly as it is. I found myself troubled and confused, not sure who to judge anymore, all the while being fed new extremities. I'm impressed Haneke turned this into something deeply interesting, as the subject is easily taken advantage of for cheap entertainment. Also: Huppert was absolutely perfect."
De eeuwigheid en een dag,1998,Theodoros Angelopoulos,4.0,2018-02-09,"How two stories of an old, dying, and a young, mistreated existence coincidentally intertwine, resulting in a highly unusual, but very pure and credible friendship. The nostalgic daydreming of Alexandros make me feel like I'm watching a Fellini film, but there's plenty other stylistic elements utilitzed by Angelopoulos, skillfully crafting this into a superb film. I don't think I'll ever forget that busride scene."
Cléo from 5 to 7,1962,Agnès Varda,4.0,2025-07-31,"An incredible film by the great Agnès Varda with a beautifully crafted balance between artful delight and sober, slow-paced, realistic storytelling; an accomplished hint of experimentalism while remaining realistic at the surface. It's an amazing minimalist adventure of life that makes you experience truly the deepest possible powers of cinema."
"Mens, durf te leven",1946,Frank Capra,3.0,2023-01-04,"A heartwarming film (thanks especially to James Stewart's natural charisma) that has all the elements for a great story and has them put together neatly: it's a very mature production that is a breeze to watch. However, something about its extremely Christian American, moralistic vibe (as with many more post-code 30s and 40s films) limits the fullness and authenticity of the experience for me."
Z,1969,Costa-Gavras,5.0,2018-01-20,"A masterpiece treating in vivid detail the inner workings of political corruption, covering several, if not all, layers involved in the process. It has the pleasant quality of providing intellectual depth and informative value, while keeping things down to earth and captivating. Every minute of this film is enthralling, and its content timeless and tragically human."
In de macht van het monster,1932,James Whale,3.0,2021-10-24,"Not usually a fan of the genre, this film certainly was certainly entertaining. The old dark house set in the stormy, rainy weather provides a nice setting, the characters are charming (as soon as you allow yourself to get used to them) and once the end nears I feel like the film is actually maturing ahead of its time."
The Wind in the Willows,1983,Mark Hall,3.0,2018-01-12,"Watching this as an adult, I found the animation wonderful and the style in its entirety heart-warming. What did bother me is the random, chaotic storyline, which almost feels as if they crammed a series-length of material into 80 minutes. This might be because I've watched it as an adult, hopefully children -the target audience- experience this differently. All in all it's very cosy and recommended for children."
Pervert Park,2014,"Frida Barkfors,Lasse Barkfors",3.0,2018-01-12,"Does a good job providing an opportunity to show the victim side to being an sex offender. It reminds us that no human wants to commit horrible acts out of sheer wilfullness, but virtually always they've suffered a traumatic history or are mentally ill. Ultimately, they deserve to be considered human beings, receiving grace, all the while of course having to face the consequences of their actions."
Het geheim van de katmensen,1942,Jacques Tourneur,3.0,2018-01-12,"At first it seemed too fantastical to me, but as the story progresses, it becomes darker and more mysterious and consequently -to me at least- more interesting. The mystery is supported well by the dark setting. I cannot help but dislike the fantastical bit though, even though it's the very unique and core thing about this film. A matter of taste of course."
The Bat Whispers,1930,Roland West,2.0,2018-01-12,"On the one hand I was very impressed by some of the camerawork and use of lighting and shadow, technique which seems progressive for the time. Sadly however, the film didn't interest me in any other way. I might not be a big fan of this genre maybe, but to me much of the film felt (too) silly."
5 Centimeters Per Second,2007,Makoto Shinkai,4.0,2018-01-12,"I love how this three-episode story does not ultimately give the viewer the most pleasing outcome, but the most painful and realistic one. It's a theme dear to my heart which is treated very well here. And such a mesmerizing setting! The beautiful animation enables this in a way that real life never could have you experience."
Paterson,2016,Jim Jarmusch,3.0,2018-01-12,"Wonderful ambient film to watch when you long for tranquility. The soft fades from bus to scenery bring the mind to ease, supported by the slightly cheesy, but calming poetry written on the shots. The repetitive day-to-day plot supports the film's concept nicely, making it allround nice to watch."
Anatahan,1953,Josef von Sternberg,4.0,2021-04-30,"Very convincing tragedy showing us how civilized men increasingly revert to cavemen, given they've had to endure sufficiently long the scarcity of primary resources such as food, love from familiy and friends, but most of all: sexual intimacy. It's remarkably well done how these people are still clearly modern and cultured, but in them primal forces are addressed under the pressing circumstances. Wonderful."
The Phantom Carriage,1921,Victor Sjöström,4.0,2023-05-14,"Remarkably moving film which tells the classic tragic tale of a man who abandons the virtuous life for a life of drinking and gambling. How extremely dark and bitter David Holm becomes struck me deeply, this causing Sister Edit's faith and deeds to become even more inspiring and beautiful. I watched this with tears in my eyes and enjoyed it allround: great film."
Wind River,2017,Taylor Sheridan,2.0,2018-01-01,"The beautiful snowy landscapes are pleasant to watch, supporting the tranquil yet oddly negative atmosphere. Sadly, much of the film aims for slightly cheap revenge-orgasms and sentiment, with your typical loving father action hero. Still though, the film does possess qualities transcending that cliche as well. Overall it was a fun watch, but nothing particularly special."
Come and See,1985,Elem Klimov,5.0,2021-04-18,"A masterpiece of cinema which captures the bizarre spirit of war perfectly by mixing in subtle absurdity with brutal realism, all the while maintaining a balance between art and adventure. Disturbing and traumatizing, and aesthetically superior, presenting beautiful raw photography with minimal music that seems somehow to cross the fourth wall. This is an exceptional piece of work."
Peggy Sue Got Married,1986,Francis Ford Coppola,2.0,2019-03-12,"What I liked about this film, other than the messed up voice Nicolas Cage puts on, is the warmth brought forth by the thought experiment it runs. However, much of it feels quite generic and I can't say it is a very special film as a whole."
Uncertain,2015,"Ewan McNicol,Anna Sandilands",3.0,2017-12-25,"You get the feeling they beat Werner Herzog to making this documentary, although stylistically it's certainly more tranquil and visual than most of his work. I really enjoyed the trip through the beautiful swampy landscape, as well as the bizarre stories of these people from Uncertain. Very interesting documentary, an easy and satisfying watch."
Finding Dory,2016,"Andrew Stanton,Angus MacLane",3.0,2017-12-31,"The animation is great: no surprise there. I was very pleased, however, to find myself laughing quite a lot at the family-friendly jokes. Moreover, the film has a dark, emotional side that works really well. This is high quality Disney like I haven't seen in quite some time."
Superbad,2007,Greg Mottola,3.0,2017-12-22,"Being a sucker for these high school comedies, a good time was pretty much guaranteed. It's a very nice adventure, written very well, which entertained me to the very end. Some of the humor was good, some of it was cheap, but overall I had a very good time. This is definitely a good one within the genre."
It Comes at Night,2017,Trey Edward Shults,3.0,2017-12-22,"I love how this film takes a mysterious and psychological perspective, rather than being a usual apocalyptic action-adventure. It's low-paced and its nice, mature production naturally brings about a dark, truly creepy atmosphere. The paranoia, the survival-minded cruelty plaguing otherwise good people, Travis's growing up and mysterious development: it's done very nicely. And that daunting red door..."
The SpongeBob Movie: Sponge Out of Water,2015,"Mike Mitchell,Paul Tibbitt",2.0,2017-12-15,"""Oh no, what happened to Saturn... and to Jupiteaaa"". That line by the hilarious Bubbles completely cracked me up. There certainly is some other genuinely funny stuff, but overall it doesn't honor the Spongebob spirit very well and is clearly a commercial compromise."
One Week,1920,"Buster Keaton,Edward F. Cline",4.0,2019-01-24,"Another very creative film by Buster Keaton, utilizing extraordinary means for the time it was produced. And it begs to wonder: how much was IKEA influenced by this? ;)"
Performance,1970,"Donald Cammell,Nicolas Roeg",1.0,2017-10-19,"Probably just not my cup of tea. It felt like a hippie free-for-all orgie with absolutely nothing to hold on to. Every now and then I could appreciate some of the aesthetics and humor, but it just completely lacked anything to keep me interested most of the time."
"Fat, Sick & Nearly Dead",2010,"Joe Cross,Kurt Engfehr",3.0,2017-10-19,"Joe Cross's interesting green juice journey to weight loss was a fun watch. It was a breeze to see how he fearlessly talked to people about his adventure, inspiring people on the way. It's a shame he juices rather than blends (you want those fibers!) and doesn't understand what macro- and micronutrients are, but hey, he understands plenty to get the job done. I would've liked to have seen him gone vegan though ;)."
Computer Chess,2013,Andrew Bujalski,2.0,2019-10-09,"I was immediately taken by the subtly comical, geeky, quirky and minimalist style. The simultaneous presence of the therapy group invites for philosphical inquiry: emotional passion vs. intellectual curiosity, but there's more to it that I cannot grasp yet. Furthermore, I wasn't particularly impressed with how Peter started losing his sanity regarding chess 'going real life'. It was a nice and authentic film though."
Root of All Evil?,2006,Russell Barnes,2.0,2017-09-08,"I respect Dawkins greatly as a scientist, educator and openhearted atheist advocate. This documentary however quite dramatically exaggerates the problem (at times comically), and it's a shame he acts so unpleasantly towards religious people, rather than engaging in proper debate in which case he could've deployed more creative arguments instead of passive agressive insults and might have actually inspired someone."
The Earrings of Madame De...,1953,Max Ophüls,3.0,2022-03-04,"I wasn't immediately taken by the style of this film, because some elements of it reeked of the early 50s. However, as the movie advanced I was very impressed with Ophüls's creative ability to make the earrings the movie's star. And then there is the magnificent ending, which is simply amazing and washes away any sour taste one could've gotten during the first half of the film. Certainly very nice!"
Les cousins,1959,Claude Chabrol,5.0,2019-01-24,"Such a tragic phenomenon in life: work hard and ... lose to the romantic aristocrat. Furthermore the path to love, for some, is paved with carnal desires. A classic tale told beautifully, with all-round great directing and production. This is one of my favorite French New Wave films."
No Cow on the Ice,2015,Eloy Domínguez Serén,4.0,2021-07-15,"A truly personal, authentic narration of a Spanish immigrant in Sweden. It's honest, educational and inspiring, its style an interesting blend of rough documentary-style video footage and a more aesthetic, ambient style revolving around still photography and meditative, natural sounds. A marvelous fusion of an inspiring personal story and a very aesthetic display of beautiful Sweden."
How to Reach God Through Proper Exercising,2016,Gabriel Herrera Torres,1.0,2019-01-24,"I don't mean to hate, but I simply didn't understand anything about this short. I sense a layer of symbolism that I can't grasp, and some stylistic elements feel pretentiously random. I don't like it."
Royal Space Force: The Wings of Honnêamise,1987,Hiroyuki Yamaga,4.0,2017-06-03,"What appears to be a story of the existential struggle of a youngster who discovers meaning thanks to love at first, turns to an unexpected, dark, more serious tone when it adds the political perspective of power, greed and war to the mix. But ultimately, the film transcends this story of the finite altogether, making you remember that you, friend or foe, are a human being in the grand cosmos. Marvelous film."
"Play It Again, Sam",1972,Herbert Ross,4.0,2017-05-21,"Very authentic, cool cult movie with an increasingly high likeability over time. Some of the reckless slapstick-like humor invoked feelings of vicarious shame at first, but they grow on you, mainly because they fit in so well with the furthermore experimental, fourth-wall breaking absurdity. The Casablanca parallel is nicely done, and I loved Allan's explicitly depicted fantasies at the end. Great film."
Once Upon a Time in Anatolia,2011,Nuri Bilge Ceylan,4.0,2017-04-04,"From the immediate start it's clear this film's a visual beauty. Its tranquil style is really pleasant to watch, its pace meditative and its humor authentic and seriously good. I did feel annoyingly encouraged to focus too much on the plot, which made me lose sight (for a while) of the actual layer of importance: the existential one. The plot is arbitrary, this film is about people, about life. Very good film."
"Lo and Behold, Reveries of the Connected World",2016,Werner Herzog,3.0,2020-07-03,"As always I find Herzog's style pleasing. His genuine curiosity, thorough covering of the subject and ability to illuminate some unexpected perspective you hadn't thought of before as an actual problem -like the people suffering from wireless radiation- exemplify why. Overall it did feel a little incoherent though, possibly because it tries to cover too much material from diverse fields. A nice documentary."
Star Wars: The Force Awakens,2015,J.J. Abrams,2.0,2020-06-26,"On the one hand I'd say this might be the modern episode that is most true to the original trilogy; at times I felt like watching a remake of A NEW HOPE. On the other hand it's thoroughly drenched in Hollywood's mainstream soup, especially the dark-side seems raped. I like the addition of an existentially confused storm trooper, but I'm not too sure about grandpa Han Solo's part. Fun to watch, but not much more."
Summer Wars,2009,Mamoru Hosoda,2.0,2017-01-22,"A playful exploration of the dangers of letting our digital lives becoming increasingly dominant, especially allowing the system to arrange many of our society's needs. A bit too jolly for my taste, with too perfect coincidences, but certainly beautiful and moreover: relevant and inspirational. We should heed the film's message and try to come together as a species to resolve our global issues. Nice film."
The Place Promised in Our Early Days,2004,Makoto Shinkai,2.0,2017-01-06,"The mystery of the tower serves a wonderfully romantic tale of sci-fi. The soundtrack accompanies the beautiful animations well, setting a timid, dreamy mood. The science is vague, almost fantasy-like, which fits the atmosphere but is often confusing. The social dimension of the film can also be hard to fully understand, but it's certainly not bad. Something tells me this film had more potential, but it was fun."
The Congress,2013,Ari Folman,5.0,2026-05-03,"Constantly developing in unexpected, vague, yet logical ways, this film maintains a perfect balance, turbulently displaying creative and interesting ideas while remaining coherent and captivating. Genuinely philosophical on several levels, superseding just the rational and even utilizing the medium of film itself ingeniously. It even succeeded emotionally, peaking at the inventive ending which put tears to my eyes."
Possession,1981,Andrzej Żuławski,2.0,2021-07-17,"A powerful experience film full of intense, expressive acting, absurd humor in the form of ridiculously (often bloody) fights, demonstrating a funny, highly cynical point of view on love. It is this cynicism and dark humor I love about the film, but I didn't care for the many symbols and some of the random, expressionistic scenes it seemed to contain. Generally a neat, authentic style, but not entirely my cup of tea."
12 Monkeys,1995,Terry Gilliam,3.0,2016-12-21,"Unexpectedly more mystery than sci-fi, focusing mostly on the mystery behind the virus outbreak rather than on its effects and character. This is neatly supported by the freaky style: a drooling B. Willis, steam-punky setting, weird zooms and oblique shots, this way creating a suppressive, bizarre atmosphere much like BRAZIL does. A very impressive script, of which I regard the climax surprisingly pleasing."
The Green Ray,1986,Éric Rohmer,5.0,2021-01-22,"A film about feeling disconnected even though being amidst people with good intentions who are incapable of truly listening or understanding, about desparate attempts to rediscover oneself through holidays during which one meets people but feels not less alone. A realistic exploration of the introverted, but lost mind, presented in an aesthetically pleasing film that makes you feel you're on vacation. A masterpiece."
Going Clear: Scientology and the Prison of Belief,2015,Alex Gibney,4.0,2016-11-30,"South Park actually didn't exaggerate: this 'religion' is completely ridiculous. This documentary has taught me it's far worse than that though. Ex-members, most of them highly ranked or senior, tell their stories of extreme mental and physical abuse, indoctrination and money scamming: it's appalling. Moreover, their perspectives really gave me a unique peak in the mind of a believer. Highly recommended."
The House of Small Cubes,2008,Kunio Katô,2.0,2016-12-01,"Even though it feels like yet another creative short film on the one hand, it can't be denied it fulfills its destiny well. Wonderfully nostalgic, with a befitting style constituting of cute drawing and heartwarming music. It's adorably creative in the way it carries its emotional theme. Worth your while!"
Angst essen Seele auf,1974,Rainer Werner Fassbinder,3.0,2019-01-24,"A tale of everyday ethics, in which kind-hearted Emmi proves that no setback is grave enough for her to give up her kindness, symbolizing the power of forgiveness and trust. I like the mild, pleasingly theatrical style, which allows for the dry humor and slight magnification of emotions, giving it a warm, romantic touch. At the same time though, it is clean and realistic cinema: a beautiful combination, done neatly!"
Socrates,1971,Roberto Rossellini,2.0,2016-11-30,"An entertaining and leisurely educational film about our favorite ancient Athenian philosopher Socrates, which features some well-known epigrams, but sadly doesn't show Socrates' comical side at all, which in my opinion is quite a missed opportunity and flaw. Furthermore, it's pretty dry and long-winded, although the trial scene is good. Not a perfect biography maybe, but an interesting historical film nonetheless."
Before the Flood,2016,Fisher Stevens,4.0,2016-11-12,"Interesting conversations with experts in various disciplines and from many different places; footage of several locations around the globe where the devastating effects of global warming can already clearly be seen, often striking the poorest of people; a critical view on the responsibility of western civilization, especially the USA and even its politicians. Also, it's an accessible production for a large audience."
The Passion of Joan of Arc,1928,Carl Theodor Dreyer,3.0,2016-11-12,"I recognize the incredible achievement of Dreyer in this early age of film, but the necessity of an exaggeratedly visual display of emotions limits its touching effect. Unlike some FW Murnau films from the same period which are accompanied by music, this feature was entirely silent, making it harder to stay focused. The camera was used very impressively, aesthetically exposing the clear power and status differences."
The Jungle Book,2016,Jon Favreau,3.0,2019-09-30,"As a child this was one of my favorite movies, so this remake had quite a lot to live up to, especially since I strongly favor drawn animation over CGI. It may be partly due to these bad expectations that the film turned out to be quite fun! The atmosphere is nice, the story kept well intact, and most important of all the characters stayed true to the classics. Not as great as the original maybe, but certainly fun."
My Girlfriend's Boyfriend,1987,Éric Rohmer,4.0,2023-01-25,"A playful film in which we are taught how comically wrong our intuitions can be. As always, Rohmer knows how to balance realistic emotions and social interactions, and playful situations that are just unlikely enough to happen in real life to serve the comical purpose. On another note: how incredibly beautiful are those suburbs of Paris? Beautiful film in each and every way."
The Model Couple,1977,William Klein,2.0,2019-01-24,"A clumsy, almost amateurish production, yet not without charm. Its style is without doubt one of a kind and even though I did not find it highly aesthetically pleasing, it is particular and fun. I'm equally unsure about the deeper layer of the film: the experiment feels a bit inefficient to me in terms of what it seems to try proving and it all feels a bit awry. All in all it was a fun watch, but not much more."
Mad Ladders,2015,Michael Robinson,3.0,2016-10-07,Stunning visuals and nice music. This is experimental in a way that beats pretence and is actually nice.
Limitless,2011,Neil Burger,2.0,2020-04-22,"The concept is interesting, although much of the science and some of the drug's effect don't make too much sense. I was surprised by the nice acting of Cooper and really enjoyed the interesting visual effects and editing in this film. During the second half I lost most of my interest, but I did like the ambiguous ending! It really invites to think through the possibility of his brain actually having changed. Decent!"
Taro the Dragon Boy,1979,"Kirio Urayama,Peter Fernandez",4.0,2026-01-04,"As much as I enjoyed this now, boy would I love to have seen this as a child. This film's a great teacher in compassion, which at times even caused tears to appear in my eyes. Such authentic drawing, beautiful music and simply a charming style overall. I really enjoyed this beautiful film."
Live and Let Live,2013,Marc Pierschel,4.0,2016-10-04,
I Heart Huckabees,2004,David O. Russell,3.0,2016-10-04,"A mid 00s charming and fun indie films, but certainly not compromising on philosophical depth. I usually have a tough time with such crafted films that experiment with conventional realism, but this film pulled it off nicely. The philosophical topics in the film are explored well, roughly stated comparing the 'everything is connected' buddhist metaphysics to the 'nihilist' perspective, both of which have their role."
The Wizard of Oz,1939,"Victor Fleming,Mervyn LeRoy,King Vidor",3.0,2019-08-06,"Being fairly familiar with its story due to references from animated sitcoms and a probable watch during my childhood, I was surprised how much fun of a watch this film was! Such a massive production for its time, in which everything has been carried out to the last detail. A neat score, a beautiful decor and suiting costumes to finish off the style. The lion is a blast, he honestly made me laug out loud sometimes!"
Earthlings,2005,Shaun Monson,4.0,2016-10-04,"This documentary is one big compilation of raw (undercover) video footage showing animals being gruesomely abused in all related industries. I believe that, without passing judgment on people, we should all take responsibility and watch this, to educate ourselves about how our consumption causes countless animals to suffer and die horrific deaths every day, and try to do the respectable thing, which is to go vegan."
District 9,2009,Neill Blomkamp,2.0,2016-10-04,"An interesting thought experiment that utilizes the alien theme for socio-political critique, most notably difficulties concerning immigration. Although I appreciate this, I wasn't too impressed with the film. I disliked the actors and the characters they portrayed, did not care for the alien CGI -except for the awesome spaceship- and think the storyline is one of a cliche action film. Scores on authenticity though."
Law Abiding Citizen,2009,F. Gary Gray,1.0,2016-10-03,"A cliche Hollywood production, although one with a tolerable production formula. As far as entertainment is concerned, the first half of the film is pretty nice, and actually reminded me of that delicious satisfactory feeling of revenge in ""Taken"". However, about halfway through it spins out of control, losing all credibility and remnants of authenticity. Not worth your while."
New Kids Nitro,2011,"Steffen Haars,Flip Van der Kuil",1.0,2016-10-03,"Being from Noord Brabant myself, I can verify this is authentic behavior if you go look in the right neighbourhoods. Certainly an entertaining watch, although I liked the series of video clip a lot better."
Hardcore Henry,2015,Ilya Naishuller,2.0,2016-10-03,"I'm no big fan of action hero movies, but this film definitely does a great job looking like a video game. I mean wow, everything makes sense from that perspective: the mystery around Henry, his cyborg nature, the weirdly overpowered 'final' boss. The camera-angle and editing in this film are amazing as well, of a level you'd expect only from a high budget Hollywood film. Lots of respect, however still not my style."
Birdboy: The Forgotten Children,2015,"Alberto Vázquez,Pedro Rivero",2.0,2016-10-03,"The bizarre story didn't really appeal to me, although it certainly did contribute to the fun I had watching this beautifully animated film. It's something else for sure, but just not my cup of tea."
Inherent Vice,2014,Paul Thomas Anderson,4.0,2016-07-31,"I love how this film gradually evolves from a decent, normal atmosphere to a more and more sinister, complex, druggy one. The style is mature and very pleasing, including the acting, particularly by Waterston and Phoenix. I'm unable to say whether it's open for interpretation or in fact just so complicated I wasn't able to get a clear picture, but either way it is brilliantly put together."
Enter the Void,2009,Gaspar Noé,4.0,2026-01-28,"What an experience this was. Its authentic, extreme and visual style represents tripping better than any other film I've seen or can imagine. The script is great, living in perfect symbiosis with the style, through which the emotional storyline is told interestingly and fittingly. A beautiful experience film, that makes you feel rather than think, although certainly not without a message."
De samoerai,1967,Jean-Pierre Melville,3.0,2019-01-24,"The typical Melville style of the crime genre, yet in an -even for his sake- above average ambient setting. This makes this film stand out in his ouvre in terms of authenticity, although I have to admit it did not appeal to me as much as some other of his films. Nonetheless, quality stuff."
Fitzcarraldo,1982,Werner Herzog,4.0,2024-12-04,"What a beautiful piece of art. An entrepeneur planning on bringing opera, his passion, to the Amazon by building an opera house there, only to fail yet succeed. A marvelously romantic idea carried out to the most bizarre level of detail as Herzog is capable of doing. The pacing, the creative ideas, the bizzarre adventure: it's complete. Also, an unusually serious role than I'm used of by Kinski and he acts well!"
My Dinner with André,1981,Louis Malle,4.0,2025-09-27,"Amazing film. The dialogue is exceptionally realistic and the discussion is simply perfect in both a philosophical and psychological sense. It affected me deeply on a personal level, since the theme discussed is one that has haunted me -and undoubtedly many people- for the last few years: am I really living? Beautiful treatise on the art of living."
Coffee and Cigarettes,2003,Jim Jarmusch,2.0,2016-07-15,"To be honest, much of this was pretty boring and only some of the scenes were actually funny. The concept is quite nice, but some of the recurring references and ideas are quite dull. Not recommended, although I can't say it was a complete waste of my time."
